"year","unitid","inst_name","state_name","number_applied","number_admitted","number_enrolled_total","reqt_hs_rank","reqt_test_scores","reqt_hs_gpa","reqt_college_prep","reqt_recommendations","sat_crit_read_25_pctl","sat_crit_read_75_pctl","sat_math_25_pctl","sat_math_75_pctl","act_composite_25_pctl","act_composite_75_pctl","act_english_25_pctl","act_english_75_pctl","act_math_25_pctl","act_math_75_pctl","institution_level","completion_rate_150pct"
"2016","142832","Adler University","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","142887","American Academy of Art","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.619"
"2016","142957","American Islamic College","Illinois","3","3","3","Recommended","Required","Required","Neither required nor recommended","Required","","","","","","","","","","","Four or more years",""
"2016","143048","School of the Art Institute of Chicago","Illinois","5244","3111","634","Neither required nor recommended","Required","Neither required nor recommended","Neither required nor recommended","Required","530","640","490","600","22","27","22","29","23","31","Four or more years","0.656"
"2016","143084","Augustana College","Illinois","6587","3400","698","Recommended","Recommended","Required","Recommended","Recommended","","","","","","","","","","","Four or more years","0.749"
"2016","143118","Aurora University","Illinois","2615","2294","654","Recommended","Required","Required","Required","Recommended","420","520","430","530","19","24","18","24","17","24","Four or more years","0.532"
"2016","143288","Blackburn College","Illinois","1001","539","170","Required","Required","Required","Recommended","Recommended","420","450","370","440","18","23","17","23","16","22","Four or more years","0.475"
"2016","143297","Blessing Rieman College of Nursing and Health Sciences","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","143358","Bradley University","Illinois","9786","6832","1093","Recommended","Required","Required","Required","Recommended","480","620","480","620","22","28","22","29","22","27","Four or more years","0.727"
"2016","143659","Catholic Theological Union at Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","143853","Midwestern University-Downers Grove","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","143978","The Chicago School of Professional Psychology at Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","144005","Chicago State University","Illinois","2571","1488","295","Neither required nor recommended","Required","Required","Recommended","Required","400","590","460","690","16","20","16","20","16","20","Four or more years","0.13"
"2016","144014","Chicago Theological Seminary","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","144050","University of Chicago","Illinois","31484","2499","1591","Recommended","Required","Recommended","Neither required nor recommended","Required","720","800","730","800","32","35","33","35","31","35","Four or more years","0.928"
"2016","144281","Columbia College Chicago","Illinois","8324","7330","1555","Neither required nor recommended","Recommended","Required","Required","Required","","","","","","","","","","","Four or more years","0.44"
"2016","144351","Concordia University-Chicago","Illinois","3462","2386","356","Considered","Required","Required","Recommended","Considered","460","560","470","550","19","24","19","25","18","24","Four or more years","0.478"
"2016","144740","DePaul University","Illinois","22502","15695","2459","Recommended","Recommended","Required","Required","Required","","","","","","","","","","","Four or more years","0.708"
"2016","144777","DeVry University-Administrative Office","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","144883","East-West University","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.109"
"2016","144892","Eastern Illinois University","Illinois","8420","3947","772","Recommended","Required","Required","Required","Recommended","","","","","18","24","18","24","17","24","Four or more years","0.563"
